0.25	0.25	0.25	0.07624134	0.1311226	0.1311226	0.0247188	0.0247188	0.2
0.75	0.25	0.25	0.115049	0.0876609	0.0876609	0.01300342	0.01300342	0.2
1.5	0.5	0.5	0.1334407	0.1153631	0.1153631	0.02039434	0.02039434	0.2
2.5	0.5	0.5	0.1945589	0.5195026	0.5195026	0.02695878	0.02695878	0.2
4.0	1.0	995.5	0.3603987	0.07476548	0.07476548	0.04077509	0.04077509	0.2
								
0.296	0.05	0.05	0.0207	0.000279175	0.000279175	0.00205845	0.00205845	13
0.494	0.05	0.05	0.0303	0.000307433	0.000307433	0.00301128	0.00301128	13
0.694	0.05	0.05	0.0385	0.00036263	0.00036263	0.00383291	0.00383291	13
0.895	0.05	0.05	0.0468	0.000433623	0.000433623	0.00465451	0.00465451	13
1.18	0.05	0.05	0.0577	0.000400655	0.000400655	0.00574147	0.00574147	13
1.58	0.05	0.05	0.0695	0.000559635	0.000559635	0.00691361	0.00691361	13
1.98	0.05	0.05	0.0789	0.000771996	0.000771996	0.00784575	0.00784575	13
2.46	0.05	0.05	0.0845	0.000917843	0.000917843	0.0115267	0.0115267	13
3.14	0.05	0.05	0.0929	0.00124438	0.00124438	0.0126731	0.0126731	13
4.02	0.05	0.05	0.0867	0.00179962	0.00179962	0.0170246	0.0170246	13
5.17	0.05	0.05	0.0703	0.00263416	0.00263416	0.0260422	0.0260422	13
								
0.297	0.05	0.05	0.02	0.00074638	0.00074638	0.00199212	0.00199212	7
0.494	0.05	0.05	0.0282	0.000775209	0.000775209	0.0028021	0.0028021	7
0.694	0.05	0.05	0.0344	0.000941067	0.000941067	0.00342673	0.00342673	7
0.894	0.05	0.05	0.0403	0.00112883	0.00112883	0.00401382	0.00401382	7
1.18	0.05	0.05	0.05	0.00104387	0.00104387	0.00497736	0.00497736	7
1.58	0.05	0.05	0.0631	0.00146238	0.00146238	0.0062773	0.0062773	7
1.98	0.05	0.05	0.0802	0.00205573	0.00205573	0.00798066	0.00798066	7
2.46	0.05	0.05	0.0756	0.00244476	0.00244476	0.0103124	0.0103124	7
3.14	0.05	0.05	0.0787	0.00333596	0.00333596	0.0107406	0.0107406	7
4.02	0.05	0.05	0.0659	0.00492243	0.00492243	0.0129551	0.0129551	7
5.17	0.05	0.05	0.0605	0.00727271	0.00727271	0.0223915	0.0223915	7
								
0.387	0.05	0.05	0.0252	0.00122214	0.00122214	0.00250496	0.00250496	5
0.777	0.05	0.05	0.038	0.00148812	0.00148812	0.00378509	0.00378509	5
1.32	0.05	0.05	0.0584	0.00172515	0.00172515	0.00580458	0.00580458	5
2.19	0.05	0.05	0.0706	0.00305615	0.00305615	0.00963763	0.00963763	5
3.43	0.05	0.05	0.0724	0.0056406	0.0056406	0.0142317	0.0142317	5
5.18	0.05	0.05	0.0348	0.0130776	0.0130776	0.0128724	0.0128724	5
